"","Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Ratings.Source","Ratings.Value","Metascore","imdbRating","imdbVotes","imdbID","Type","tomatoMeter","tomatoImage","tomatoRating","tomatoReviews","tomatoFresh","tomatoRotten","tomatoConsensus","tomatoUserMeter","tomatoUserRating","tomatoUserReviews","tomatoURL","DVD","BoxOffice","Production","Website","Response"
"124","M.S. Dhoni: The Untold Story","2016","N/A","30 Sep 2016","184 min","Biography, Drama, Sport","Neeraj Pandey","Neeraj Pandey (story and dialogue), Neeraj Pandey (screenplay), Dilip Jha (screenplay), Mohinder Pratap Singh (writing associate), Shyam Maheshwari (writing associate)","Disha Patani, Anupam Kher, Sushant Singh Rajput, Kiara Advani","The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.","Hindi","India","1 win & 2 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BOTY5ODQxMTY3M15BMl5BanBnXkFtZTgwOTA3NTA4OTE@._V1_SX300.jpg","Internet Movie Database","7.8/10","N/A","7.8","21,682","tt4169250","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/ms_dhoni_the_untold_story","N/A","$1,782,795","Inspired Entertainment","N/A","True"
"125","The Ghazi Attack","2017","N/A","17 Feb 2017","116 min","Action, Drama, History","Sankalp Reddy","Sankalp Reddy (story and screenplay), Niranjan Reddy (story and screenplay), Gunnam Gangaraju (story and screenplay), Azad Alam (dialogue)","Rana Daggubati, Kay Kay Menon, Atul Kulkarni, Om Puri","A Pakistani submarine, Ghazi plans to secretly attack Vizag port. For doing so, it has to get past Indian submarine S21.","Hindi, Telugu","India","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BNjJjODRlNTctM2IxYS00ZGQ4LTg2ZTItMTFiOTJkM2EyNmY4L2ltYWdlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg","Internet Movie Database","7.9/10","N/A","7.9","5,021","tt6299040","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.rottentomatoes.com/m/the_ghazi_attack","N/A","N/A","N/A","N/A","True"
"126","24","2016","N/A","06 May 2016","164 min","Action, Romance, Sci-Fi","Vikram K. Kumar","Vikram K. Kumar","Suriya, Samantha Ruth Prabhu, Nithya Menon, Saranya Ponvannan","A scientist invents a time machine, which leads to a bitter battle between his evil twin brother and his son.","Tamil, Telugu","India","2 wins & 1 nomination.","https://images-na.ssl-images-amazon.com/images/M/MV5BZmYyNWRmNjUtODg5OC00YmRjLTkwYWMtMjY5NjA5ZjhkNDg3XkEyXkFqcGdeQXVyNDA1NTY2Nzk@._V1_SX300.jpg","Internet Movie Database","8.0/10","N/A","8.0","11,419","tt4981966","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"127","Baazigar","1993","R","12 Nov 1993","175 min","Crime, Drama, Musical","Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Robin Bhatt, Akash Khurana, Javed Siddiqui","Shah Rukh Khan, Rakhee Gulzar, Kajol, Siddharth","A young man with a vendetta against a business tycoon seduces and kills his eldest daughter and then proceeds to his younger daughter but she begins to suspect her new lover's ulterior motive.","Hindi","India","4 wins & 6 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3OTE1MDAxNV5BMl5BanBnXkFtZTgwNjM1NDk5NTE@._V1_SX300.jpg","Internet Movie Database","7.8/10","N/A","7.8","19,904","tt0106333","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/baazigar/","29 Dec 1998","N/A","United Seven Creations","N/A","True"
"128","Detective Byomkesh Bakshy!","2015","N/A","03 Apr 2015","139 min","Action, Drama, Thriller","Dibakar Banerjee","Urmi Juvekar, Dibakar Banerjee, Saradindu Bandopaddhyay (based on the stories and characters created by)","Sushant Singh Rajput, Anand Tiwari, Neeraj Kabi, Divya Menon","Detective Byomkesh Bakshy is set in the 2nd World War torn Calcutta during the 1940s. Enter a magical world of nostalgia and 'Expect the Unexpected'.","Hindi","India","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMjMyNzQ0MTAxNl5BMl5BanBnXkFtZTgwMDY2NjM4MzE@._V1_SX300.jpg","Internet Movie Database","7.7/10","N/A","7.7","11,694","tt3447364","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/detective_byomkesh_bakshy_2015/","N/A","$579,055","Yash Raj Films","http://www.detectivebyomkeshbakshy.com/","True"
"129","Jodhaa Akbar","2008","N/A","15 Feb 2008","213 min","Action, Adventure, Biography","Ashutosh Gowariker","Haidar Ali (story), Haidar Ali (screenplay), Ashutosh Gowariker (screenplay), K.P. Saxena (dialogue)","Hrithik Roshan, Aishwarya Rai Bachchan, Sonu Sood, Poonam Sinha","A sixteenth century love story about a marriage of alliance that gave birth to true love between a great Mughal emperor, Akbar, and a Rajput princess, Jodha.","Hindi, Urdu","India","22 wins & 25 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1ODQ2MDIxMl5BMl5BanBnXkFtZTcwNTc3Mzk1MQ@@._V1_SX300.jpg","Internet Movie Database","7.6/10","69","7.6","22,786","tt0449994","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/jodhaa_akbar/","09 Sep 2008","N/A","UTV Communications","http://www.jodhaaakbar.com/","True"
"130","Wake Up Sid","2009","N/A","02 Oct 2009","138 min","Comedy, Drama, Romance","Ayan Mukherjee","Ayan Mukherjee (story and screenplay), Niranjan Iyengar (dialogue)","Ranbir Kapoor, Konkona Sen Sharma, Supriya Pathak, Anupam Kher","A spoiled young adult living in Mumbai experiences a change in his lazy ways when he meets a woman at a party, who inspires him to ""wake up"".","Hindi, English, Bengali","India","2 wins & 13 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTg2NTk2MjU5NV5BMl5BanBnXkFtZTcwNTY0Nzg4Mg@@._V1_SX300.jpg","Internet Movie Database","7.6/10","N/A","7.6","20,712","tt1324059","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/wake_up_sid/","04 Jan 2010","$611,574","UTV","http://wakeupsid.com/","True"
"131","Highway","2014","NOT RATED","21 Feb 2014","133 min","Adventure, Drama, Romance","Imtiaz Ali","Imtiaz Ali","Alia Bhatt, Randeep Hooda, Durgesh Kumar, Pradeep Nagar","Right before her wedding, a young woman finds herself abducted and held for ransom. As the initial days pass, she begins to develop a strange bond with her kidnapper.","Hindi, English","India","4 wins & 11 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjE5NjkyNTczM15BMl5BanBnXkFtZTgwNDg4MzE5MDE@._V1_SX300.jpg","Internet Movie Database","7.6/10","40","7.6","19,638","tt2980794","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/highway_2014/","N/A","N/A","UTV Motion Pictures","http:// http://highwaythefilm.com/","True"
"132","Aankhen","2002","N/A","05 Apr 2002","165 min","Comedy, Thriller, Crime","Vipul Amrutlal Shah","Shobhana Desai (play), Aatish Kapadia (screenplay), Aatish Kapadia (story), Aatish Kapadia, Vipul Amrutlal Shah (screenplay), Vipul Amrutlal Shah (story)","Amitabh Bachchan, Akshay Kumar, Sushmita Sen, Arjun Rampal","After a temperamental man is unceremoniously stripped of his duties as a bank manager, he decides to seek revenge by robbing the bank. He trains three blind men to do this risky task for him.","Hindi","India","5 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BYmE2MTNkYTctN2FjYS00Zjc2LWFiOGQtNzFmZmE4YzM2NmM4XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg","Internet Movie Database","7.6/10","N/A","7.6","8,931","tt0306434","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/aankhen/","07 Aug 2007","N/A","N/A","N/A","True"
"133","Magadheera","2009","N/A","30 Jul 2009","147 min","Action, Adventure, Drama","S.S. Rajamouli","Vijayendra Prasad (story), S.S. Rajamouli (screenplay), S.S. Rajamouli, M. Rathnam (dialogue)","Kajal Aggarwal, Dev Gill, Srihari, Sarath Babu","A bike stuntman recalls his previous life as a warrior, and pursues his love's reincarnation. A sinister figure from their shared past threatens to separate them forever.","Telugu, Tamil, Malayalam, Tamil","India","3 wins.","https://images-na.ssl-images-amazon.com/images/M/MV5BNzQxNWE0NjctMzgxZC00NTdlLTkxMWUtNGM1MmRiYjM4ZWIwXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg","Internet Movie Database","7.7/10","N/A","7.7","12,111","tt1447500","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/magadheera_2009/","N/A","N/A","Blue Sky Cinema","N/A","True"
"134","Delhi Belly","2011","N/A","01 Jul 2011","103 min","Comedy, Crime, Drama","Abhinay Deo, Akshat Verma","Akshat Verma","Imran Khan, Vir Das, Kunaal Roy Kapur, Shenaz Treasury","Three struggling room-mates unknowingly become potential prey of a ruthless gangster.","English, Hindi","India","4 wins & 6 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BNTI3ODQwNDAzN15BMl5BanBnXkFtZTcwMDg5NDExNg@@._V1_SX300.jpg","Internet Movie Database","7.6/10","66","7.6","20,375","tt1934231","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/delhi_belly_2011/","16 Aug 2011","$1,531,757","UTV Motion Pictures","http://www.delhibellythefilm.com","True"
"135","Piku","2015","N/A","08 May 2015","123 min","Comedy, Drama","Shoojit Sircar","Juhi Chaturvedi","Amitabh Bachchan, Deepika Padukone, Irrfan Khan, Moushumi Chatterjee","A quirky comedy about the relationship between a daughter and her aging father, whose eccentricities drive everyone crazy.","Hindi, Bengali","India","18 wins & 9 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwOTMxNjc2OV5BMl5BanBnXkFtZTgwODQ4OTMxNTE@._V1_SX300.jpg","Internet Movie Database","7.6/10","N/A","7.6","19,465","tt3767372","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/piku/","N/A","$1,801,806","Yash Raj Films","http://www.facebook.com/PikuTheFilm","True"
"136","Rockstar","2011","NOT RATED","11 Nov 2011","159 min","Drama, Music, Musical","Imtiaz Ali","Imtiaz Ali, Muazzam Beg","Ranbir Kapoor, Nargis Fakhri, Shammi Kapoor, Kumud Mishra","Janardhan Jakhar chases his dreams of becoming a big Rock star, during which he falls in love with Heer.","Hindi","India","17 wins & 11 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BOTc3NzAxMjg4M15BMl5BanBnXkFtZTcwMDc2ODQwNw@@._V1_SX300.jpg","Internet Movie Database","7.6/10","N/A","7.6","29,173","tt1839596","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/rockstar_2011/","26 Mar 2012","$985,912","Eros International","http://www.rockstarthefilm.com/","True"
"137","Qayamat Se Qayamat Tak","1988","N/A","01 Mar 1988","162 min","Action, Drama, Musical","Mansoor Khan","Nasir Hussain (dialogue), Nasir Hussain (screenplay), Nasir Hussain (story)","Aamir Khan, Juhi Chawla, Goga Kapoor, Dalip Tahil","A young man and young woman fall in love against their feuding fathers' wishes in this version of 'Romeo and Juliet' set in contemporary India.","Hindi, Urdu","India","6 wins.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTY4MDQyMDUzOF5BMl5BanBnXkFtZTcwMjUyNTAzMQ@@._V1_SX300.jpg","Internet Movie Database","7.6/10","N/A","7.6","7,785","tt0095936","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/qayamat_se_qayamat_tak/","06 Sep 2005","N/A","N/A","N/A","True"
"138","Dil Se..","1998","NOT RATED","21 Aug 1998","163 min","Drama, Romance","Mani Ratnam","Mani Ratnam (story and screenplay), Sujatha (dialogue), Tigmanshu Dhulia (dialogue)","Shah Rukh Khan, Manisha Koirala, Preity Zinta, Raghuvir Yadav","The clash between love and ideology is portrayed in this love story between a radio executive and a beautiful revolutionary","Hindi, Urdu, Assamese, Tamil, Telugu","India","7 wins & 2 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTI2NjU4MjkxOF5BMl5BanBnXkFtZTcwMTc3MDYxMQ@@._V1_SX300.jpg","Internet Movie Database","7.8/10","N/A","7.8","21,366","tt0164538","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/dil_se/","25 Feb 2003","N/A","Venus","N/A","True"
"139","Saala Khadoos","2016","N/A","29 Jan 2016","109 min","Action, Drama, Sport","Sudha Kongara","Sudha Kongara (script), Sudha Kongara, Madhavan (screenplay)","Madhavan, Ritika Singh, Mumtaz Sorcar, Nassar","The story of a former boxer who quits boxing following a fallout with the authorities over the underlying politics but goes on to coach a fisherwoman to fulfill his dream through her.","Hindi","India","1 win & 1 nomination.","https://images-na.ssl-images-amazon.com/images/M/MV5BM2Q5YmM3YjMtOTE2Mi00MDg5LThkZjctYzUxOWU2ZTM1ZDk4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_SX300.jpg","Internet Movie Database","7.6/10","N/A","7.6","7,157","tt5310090","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/saala_khadoos/","N/A","$76,931","UTV Communications","N/A","True"
"140","Socha Na Tha","2005","N/A","04 Mar 2005","137 min","Romance, Comedy","Imtiaz Ali","Imtiaz Ali","Abhay Deol, Ayesha Takia, Ayesha Jhulka, Apoorva Jha","A boy is forced meet a girl for an arranged marriage but even though he refuses the match, they secretly become friends. As things get complicated and both get engaged to different people they realize they've fallen in love with each other.","Hindi, English","India","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMzMwNDcwNTAyOF5BMl5BanBnXkFtZTcwOTg2ODgzMQ@@._V1_SX300.jpg","Internet Movie Database","7.6/10","N/A","7.6","5,625","tt0451919","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/socha_na_tha/","22 Sep 2006","N/A","N/A","N/A","True"
"141","Devdas","2002","N/A","12 Jul 2002","185 min","Musical, Romance","Sanjay Leela Bhansali","Saratchandra Chatterjee (based on the novel by), Prakash Kapadia (screenplay), Sanjay Leela Bhansali (screenplay), Prakash Kapadia (dialogue)","Shah Rukh Khan, Madhuri Dixit, Aishwarya Rai Bachchan, Jackie Shroff","After his wealthy family prohibits him from marrying the woman he is in love with, Devdas Mukherjee's life spirals further and further out of control as he takes up alcohol and a life of vice to numb the pain.","Hindi, Urdu, Bengali","India","Nominated for 1 BAFTA Film Award. Another 44 wins & 7 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BY2QxMGM4Y2QtMGFmMy00ZjZkLWExMWQtNTY1Yjc0MDFjZjY0XkEyXkFqcGdeQXVyNTE0MDc0NTM@._V1_SX300.jpg","Internet Movie Database","7.6/10","N/A","7.6","29,076","tt0238936","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/bimal-roy-forever2005/","15 Nov 2005","N/A","N/A","N/A","True"
"142","Hum Aapke Hain Koun...!","1994","N/A","05 Aug 1994","206 min","Comedy, Drama, Musical","Sooraj R. Barjatya","Sooraj R. Barjatya (dialogue), Sooraj R. Barjatya (screenplay)","Madhuri Dixit, Salman Khan, Mohnish Bahl, Renuka Shahane","Prem, a top student, is learning the ropes of business under his elder brother Rajesh and his uncle Kailashnath, a big industrialist. In another town, Nisha is studying computer science and...","Hindi, Urdu","India","6 wins.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTcwMjk5NDg1Nl5BMl5BanBnXkFtZTgwMjA2NTkwMzE@._V1_SX300.jpg","Internet Movie Database","7.6/10","N/A","7.6","13,955","tt0110076","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/hum_aapke_hain_koun/","30 Mar 2004","N/A","Rajshri Media","N/A","True"
"143","Khakee","2004","N/A","23 Jan 2004","174 min","Action, Adventure, Drama","Rajkumar Santoshi","Shridhar Raghavan, Rajkumar Santoshi (dialogue), Rajkumar Santoshi","Amitabh Bachchan, Akshay Kumar, Ajay Devgn, Aishwarya Rai Bachchan","A team of police force escorts an alleged terrorist from Chandangarh to Mumbai. However their trip turns into a deadly survival when an ex-cop tries to stop them to reach Mumbai.","Hindi, Urdu","India","20 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3MDE4MDY1Ml5BMl5BanBnXkFtZTcwMzE2ODgzMQ@@._V1_SX300.jpg","Internet Movie Database","7.5/10","N/A","7.5","11,908","tt0347332","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/khakee/","30 Mar 2004","N/A","Eros Entertainment","http://www.khakeethemovie.com","True"
"144","Hum Dil De Chuke Sanam","1999","NOT RATED","18 Jun 1999","188 min","Comedy, Drama, Musical","Sanjay Leela Bhansali","Sanjay Leela Bhansali, Amrik Gill (dialogue), Pratap Karvat (story), Kenneth Phillips","Salman Khan, Ajay Devgn, Aishwarya Rai Bachchan, Zohra Segal","Nandini has to choose between Sameer, the man who taught her to fall in love; and Vanraj, the man from whom she learnt how to abide and fulfill promises of love.","Hindi, English, Hungarian","India, Hungary","26 wins & 2 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BZWI5ZWMxN2QtNjJmNS00M2EwLTg3ZmUtYzI5ODY3MWM2MzM1XkEyXkFqcGdeQXVyNDk3Mzg2OTc@._V1_SX300.jpg","Internet Movie Database","7.6/10","N/A","7.6","12,800","tt0150992","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/hum_dil_de_chuke_sanam/","28 Jun 2005","N/A","Pathfinder Home Entertainment","N/A","True"
"145","Kaththi","2014","N/A","21 Oct 2014","166 min","Action, Drama","A.R. Murugadoss","A.R. Murugadoss","Joseph Vijay, Samantha Ruth Prabhu, Neil Nitin Mukesh, Tota Roy Chowdhury","A criminal finds his conscience when faced with the plight of farmers.","Tamil","India","8 wins & 8 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BZTJhNGM4ZmMtNGE3My00YWI4LTgzMTQtNDQ2ZmQ4NDVkMjQxXkEyXkFqcGdeQXVyNjcwMjAyMDI@._V1_SX300.jpg","Internet Movie Database","8.0/10","N/A","8.0","12,085","tt3801314","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/kaththi/","N/A","N/A","N/A","N/A","True"
"146","Raanjhanaa","2013","NOT RATED","21 Jun 2013","140 min","Drama, Romance","Aanand L. Rai","Himanshu Sharma","Dhanush, Sonam Kapoor, Mohammed Zeeshan Ayyub, Swara Bhaskar","A small-town boy needs to break through the class divide to gain acceptance from his childhood sweetheart who is in love with big city ideals.","Hindi, Tamil","India","7 wins & 32 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2MDA3MTQ4MF5BMl5BanBnXkFtZTcwNjE5NjY0OQ@@._V1_SX300.jpg","Internet Movie Database","7.6/10","N/A","7.6","23,086","tt2359810","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/raanjhnaa/","N/A","$875,051","Eros Enteertainment","https://www.facebook.com/RaanjhanaaTheFilm","True"
"147","Hungama","2003","N/A","01 Aug 2003","153 min","Comedy, Drama, Romance","Priyadarshan","Priyadarshan (story), Priyadarshan (screenplay), Neeraj Vora (dialogue)","Akshaye Khanna, Aftab Shivdasani, Rimi Sen, Paresh Rawal","The story of a bunch of misfits whose misconception about each others backgrounds end up in a series of chaotic, yet comic outcomes.","Hindi","India","10 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTA5NTQyMzU1MDBeQTJeQWpwZ15BbWU4MDE5NTY1MTQx._V1_SX300.jpg","Internet Movie Database","7.5/10","N/A","7.5","8,219","tt0371735","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/hungama-2003/","25 Nov 2003","N/A","Venus","N/A","True"
"148","Rangeela","1995","N/A","08 Sep 1995","142 min","Comedy, Drama, Musical","Ram Gopal Varma","Sanjay Chhel (dialogue), Ram Gopal Varma, Neeraj Vora (dialogue)","Jackie Shroff, Aamir Khan, Urmila Matondkar, Gulshan Grover","A poor young woman, who dreams of Bollywood fame, is caught in a love triangle between her childhood friend and a famous actor.","Hindi, Tamil","India","3 wins & 3 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BNDBlMjY5ZjMtNGE3YS00NGUzLWE5ZWQtYTBjNWU1ZmU5MTY0XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg","Internet Movie Database","7.5/10","N/A","7.5","6,546","tt0114234","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/rangeela-full-of-colour/","30 Mar 1999","N/A","N/A","N/A","True"
"149","Ghilli","2004","N/A","N/A","160 min","Action, Comedy, Romance","Dharani","Dharani","Joseph Vijay, Trisha Krishnan, Prakash Raj, Ashish Vidyarthi","A village girl escaping a bloody family feud is sheltered by a city collegian","Tamil","India","1 win.","https://images-na.ssl-images-amazon.com/images/M/MV5BYjU2NTY5ODUtMTI3Ni00YTJiLTliN2EtNTRkNWQzODFmNDA3XkEyXkFqcGdeQXVyMjA4NjIzMTA@._V1_SX300.jpg","Internet Movie Database","7.8/10","N/A","7.8","5,429","tt0422320","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/ghillli/","N/A","N/A","N/A","N/A","True"
"150","1 - Nenokkadine","2014","N/A","10 Jan 2014","170 min","Action, Musical, Mystery","Sukumar","Jakka Hariprasad (story), Hari Prasad Jakka (story), Venkateswararao Potluri (associate head writer), Palnati Surya Pratap (script assistance), Thota Srinivas, Sukumar (screenplay), Suneel Madhav (screenplay), Arjun Y.K., Jeremy Zimmermann","Mahesh Babu, Kriti Sanon, Nassar, Pradeep Singh Rawat","A rock star must overcome his psychological inhibitions to seek revenge for his parents' death.","Telugu","India","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BNzcwMzkwODE1NF5BMl5BanBnXkFtZTgwNzA1NzAwMTE@._V1_SX300.jpg","Internet Movie Database","8.4/10","N/A","8.4","36,784","tt2375559","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","https://www.rottentomatoes.com/m/1_2014","N/A","N/A","Ficus Pictures","N/A","True"
"151","Rocket Singh: Salesman of the Year","2009","N/A","11 Dec 2009","150 min","Comedy, Drama","Shimit Amin","Jaideep Sahni (dialogue), Jaideep Sahni (screenplay), Jaideep Sahni (story)","Ranbir Kapoor, Prem Chopra, Gauhar Khan, Mukesh Bhatt","A story of a fresh graduate trying to find a balance between the maddening demands of the 'professional' way, and the way of his heart.","Hindi","India","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMTk1ODg4NzIxNl5BMl5BanBnXkFtZTcwNDAyOTg5Mg@@._V1_SX300.jpg","Internet Movie Database","7.5/10","N/A","7.5","13,050","tt1434447","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/rocket_singh_salesman_of_the_year/","19 Jan 2010","N/A","Yash Raj Films","http://www.yashrajfilms.com/microsites/rocketsingh/fullpage.html","True"
"152","Jaane Tu... Ya Jaane Na","2008","N/A","04 Jul 2008","155 min","Comedy, Drama, Romance","Abbas Tyrewala","Abbas Tyrewala","Imran Khan, Genelia D'Souza, Manjari Phadnis, Ayaz Khan","Two best friends being convinced that they are not in love search for each other's love.","Hindi","India","6 wins & 10 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTk5NzI2MDkzOF5BMl5BanBnXkFtZTcwODA5NTk5Mw@@._V1_SX300.jpg","Internet Movie Database","7.5/10","N/A","7.5","20,245","tt0473367","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/jaane_tu_ya_jaane_na/","09 Dec 2008","$539,857","UTV Communications","N/A","True"
"153","Madaari","2016","UNRATED","22 Jul 2016","133 min","Adventure, Crime, Drama","Nishikant Kamat","Shailja Kejriwal (story), Ritesh Shah (screenplay)","Irrfan Khan, Jimmy Shergill, Vishesh Bansal, Tushar Dalvi","When Nirmal loses his family in a disaster caused by government corruption, he embarks on a journey seeking accountability and revenge.","Hindi","India","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BZDFjODM0NDAtNGJkZC00NmRiLWI3NmYtZDFkYmRhYmE4Zjk3XkEyXkFqcGdeQXVyNTIwODMzNjc@._V1_SX300.jpg","Internet Movie Database","7.6/10","N/A","7.6","8,176","tt5713232","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/madaari","N/A","N/A","Paramhans Creations","N/A","True"
"154","Peepli (Live)","2010","N/A","13 Aug 2010","95 min","Comedy, Drama","Anusha Rizvi, Mahmood Farooqui","Bhadwai (lyrics), Swanand Kirkire (lyrics), Noon Meem Rashet (lyrics), Anusha Rizvi (screenplay), Gangaram Sakhet (lyrics), Sanjeev Sharma (lyrics)","Omkar Das Manikpuri, Raghuvir Yadav, Shalini Vatsa, Farrukh Jaffar","An impoverished farmer's threat to end his life invites attention from politicians and media.","Hindi, English","India","2 wins & 6 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTgwMzEzNjYyNl5BMl5BanBnXkFtZTcwOTg1MDI3Mw@@._V1_SX300.jpg","Internet Movie Database","7.5/10","69","7.5","9,569","tt1447508","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/peepli-live/","21 Dec 2010","$748,128","UTV Communications","http://www.akpfilms.com/peeplilive","True"
"155","Thuppakki","2012","N/A","13 Nov 2012","165 min","Action, Crime, Thriller","A.R. Murugadoss","A.R. Murugadoss","Joseph Vijay, Kajal Aggarwal, Vidyut Jamwal, Sathyan","An army captain is on a mission to track down and destroy a terrorist gang and deactivate the sleeper cells under its command.","Tamil, Telugu, Hindi","India","5 wins & 14 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMGFjZTdmMmEtOGZmYi00NmU5LTk4MjEtYTdmN2QzMjRmMWZkXkEyXkFqcGdeQXVyNjUwNDEzNTE@._V1_SX300.jpg","Internet Movie Database","7.9/10","N/A","7.9","17,440","tt2187153","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/thuppakki/","N/A","$134,280","ATMUS","http://www.facebook.com/ThuppakkiOfficialPage","True"
